,comments,clean_comments,prediction
8074,Die vegane Schinkenspicker und die vegane Pommersche mit Apfel sind sooooo lecker!  Richtig lecker gewürzt! Schmeckt mir sogar viel besser als die vegetarische Schinkenspicker! :) Bin gespannt was die Zukunft noch so bringen wird! Bin großer Fan von den veganen Produkten! :),vegan schinkenspick vegan pommersch apfel sooooo leck ! richtig leck gewurzt ! schmeckt sogar bess vegetar schinkenspick ! : ) gespannt zukunft bring ! gross fan vegan produkt ! : ),1
8077,Die vegane Schinkenspicker schmeckt wirklich gut. Weiter so ,vegan schinkenspick schmeckt wirklich gut .,1
8078,Lecker!!! plant base vegan for all animals,leck ! ! ! plant bas vegan for all animal,1
8081,"Ich habe meinem Mann für die Arbeit Schwarzbrot mit der veganen Pommerschen mitgegeben ohne ihm zu sagen, dass es keine echte Leberwurst ist. Abends sagt er dann zu mir: „Endlich mal eine leckere Leberwurst.“  ","mann arbeit schwarzbrot vegan pommersch mitgegeb sag , echt leberwurst . abend sagt : „ endlich leck leberwurst. “",1
8093,Die vegane Schinken Spicker hab ich ja noch nie gesehen  sind die neu?? 142 Wo.Antworten,vegan schink spick ja nie geseh neu ? ? 142 wo.antwort,1
8095,"Warum steht denn vegetarisch drauf, aber ein vegan Zeichen danebe","warum steht vegetar drauf , vegan zeich daneb",0
8098,Eure vegetarischen und veganen Produkte sind einfach nur köstlich. Wir lieben sie!,vegetar vegan produkt einfach kostlich . lieb !,1
8103,Omg ich liebe diese Würstchen und ich liebe es dass ihr viele vegetarischen Dinge vegan macht. Ich will ja nicht gierig oder undankbar sein aber eine vegane Version der Salami oder noch besser die Würstchen wäre ein Traum,omg lieb wurstch lieb viel vegetar ding vegan macht . ja nicht gierig undankbar vegan version salami bess wurstch war traum,1
8117,"Gefällt mir, aber vegan wäre noch besser ","gefallt , vegan war bess",1
8127,"Die waren auch mega  Die noch in vegan, hammer.","mega vegan , hamm .",1
8148,Könnt ihr die nicht mal in veganer Variante rausbringen? Das wäre so geil  91 Wo.Gefällt 2 MalAntworten,konnt nicht vegan variant rausbring ? war geil 91 wo.gefallt 2 malantwort,1
8154,So schade das die nicht vegan sind. Werden die vegetarischen Produkte noch veganisiert??,schad nicht vegan . vegetar produkt veganisiert ? ?,0
