,comments,clean_comments,prediction
5205,"Nicht nur fürs Klima, für unser aller Leben.... #bekindtoeverykind #animalequality #friendsnotfood #easyvegan ","nicht fur klima , leb .... # bekindtoeverykind # animalequality # friendsnotfood # easyvegan",0
5208,Ich habe in all meinen Rezepten das Hackfleisch durch euer veganes Mühlenhack ersetzt und bin sehr zufrieden. Es schmeckt nicht 100% wie Fleisch (muss es auch nicht) aber es ist wirklich sehr lecker! ,all rezept hackfleisch vegan muhlenhack ersetzt sehr zufried . schmeckt nicht 100 % fleisch ( nicht ) wirklich sehr leck !,1
5211,Team Grün  mit Euren veganen Filets  Gruß an den Nachbarort ,team grun vegan filet gruss nachbarort,1
5250,"Bestimmt nicht, ein richtiger Hot Dog ist mit richtiger Wurst und keinem Vollkorn Brötchen. Warum muss man ein mit Tradition behaftetes Fast-Food-Essen so verunstalten? Und bestimmt nicht mit veganem Fleisch, das es nicht gibt. , entscheidet Euch doch mal. Entweder die vegane Richtung oder richtiges Fleisch. Sich beiden Lagern mit unversöhnlich gegenüber stehenden Meinungen oder Lebenseinstellungen mit diesem Zwitter-Begriff marketingmaessig anzubiedern, ist verlogen.","bestimmt nicht , richtig hot dog richtig wurst vollkorn brotch . warum tradition behaftet fast-food-ess verunstalt ? bestimmt nicht vegan fleisch , nicht gibt . , entscheidet . entwed vegan richtung richtig fleisch . beid lag unversohn gegenub stehend meinung lebenseinstell zwitter-begriff marketingmaess anzubied , verlog .",1
5257,"Es wäre soo toll, wenn ihr die Würstchen vegan machen würdet!","war soo toll , wurstch vegan wurdet !",1
5259,Wird es die Wiener irgendwann in vegan geben? Ich hätte auch so gern welche.. Eine Freundin schwärmt so von denen,wien irgendwann vegan geb ? hatt gern .. freundin schwarmt den,1
5271,"Sobald er vegan ist, ja! ","sobald vegan , ja !",1
5280,"Ich mochte die Würstl echt gern als veggie, jetzt leb ich schon so lang vegan - könnt Ihr die guten Dinger bitte endlich - und das andere von Euch auch - ohne Eiweiß von Hühnern machen - das braucht echt keiner zum gesunden Leben, Geniessen!","mocht wurstl echt gern veggi , leb schon lang vegan - konnt gut ding bitt endlich - - eiweiss huhn - braucht echt gesund leb , geniess !",1
5289,"Sind Bratwürstchen nicht ein absolutes Lieblingsprodukt hierzulande, besonders im Sommer? Ich verstehe nicht, wieso die immer noch nicht vegan sind, sondern gefühlt erst mal alles andere vegan gemacht wird. Dasselbe gilt für die Wiener.","bratwurstch nicht absolut lieblingsprodukt hierzuland , besond somm ? versteh nicht , wieso imm nicht vegan , gefuhlt erst vegan gemacht . gilt wien .",1
5291,Wann kommen die veganen Würstchen und Bratwurst?,wann komm vegan wurstch bratwurst ?,1
5295,Wann stellt Ihr komplett auf vegan umdas wäre doch konsequent ,wann stellt komplett vegan umdas war konsequent,1
5297,heyoooo  liebe eure veganen produkte über alles! leider krieg ich das ‚hähnchen‘ geschnetzelte in letzter zeit nirgends mehr... nehmt ihr das etwa aus dem sortiment? ,heyoooo lieb vegan produkt ! leid krieg ‚hahnch ‘ geschnetzelt letzt zeit nirgend mehr ... nehmt etwa sortiment ?,1
5303,Würden es gerne veganiesieren ,gern veganiesi,1
5304,Wenn die jetzt auch noch vegan wären ,vegan war,1
5306,Wäre auch ein veganer köftespieß möglich das wäre zu wild hrrrr,war vegan koftespiess moglich war wild hrrrr,1
5312,Wäre mega wenn ihr die mal veganisieren könntet,war mega veganisi konntet,1
5313,Kommen auch vegane Bratwürste? ,komm vegan bratwurst ?,1
5316,"Wenn die in vegan kommen, rettet ihr mir den Sommer. ","vegan komm , rettet somm .",1
5318,Bitte mal mehr Vegane Sachen raus bringen. Eure veganen Lebensmittel schmecken sooooo lecker. Leider nur für uns viel zu wenig Auswahl. Bitte bitte ,bitt mehr vegan sach raus bring . vegan lebensmittel schmeck sooooo leck . leid wenig auswahl . bitt bitt,1
5319,Es wäre soo schön wenn es die auch in vegan gäbe ,war soo schon vegan gab,1
5320,In vegan wären die toll! ,vegan war toll !,1
5322,veganer köftespieß?,vegan koftespiess ?,1
5326,Ich warte sehnsüchtig auf vegane Würstchen ,wart sehnsucht vegan wurstch,1
5330,"Eure vegane Produkte sind alle sehr gut, doch alle anderen Produkte kommen für mich aus ethischen Gründen nicht in Frage. Arbeitet mal an vegane Ausschnitte wie Salami z.B. #veganistlecker","vegan produkt sehr gut , produkt komm ethisch grund nicht frag . arbeitet vegan ausschnitt salami z.b . # veganistleck",1
5356,Wieso gibt es das vegane Mühlen viele Typ Hähnchen gerade seit Wochen nirgends mehr? Das ist mein absolutes Lieblingsprodukt,wieso gibt vegan muhl viel typ hahnch gerad seit woch nirgend mehr ? absolut lieblingsprodukt,1
5372,"Filet besteht aus Fleisch!! Und wenn ihr es endlich mal verstehen würdet das ein schnitzel oder ein filet etc. aus fleisch besteht, also aus tierischem Fleisch dann würdet ihr merken huch wenn ich ein produkt anbiete was zum beispiel veganes schnitzel heisst dann ist das verbraucher verarsche weil der verbraucher darin terisches fleisch vermutet. Euer veganes schnitzel sollte eig veganer soja brätling ersatz für tierisches fleisch heissen...aber verdammt!! dann merken die verbraucher das und kaufen es nicht mehr 69 Wo.Gefällt 3 MalAntworten","filet besteht fleisch ! ! endlich versteh wurdet schnitzel filet etc . fleisch besteht , tierisch fleisch wurdet merk huch produkt anbiet beispiel vegan schnitzel heisst verbrauch verarsch verbrauch darin terisch fleisch vermutet . vegan schnitzel eig vegan soja bratling ersatz tierisch fleisch heiss ... verdammt ! ! merk verbrauch kauf nicht mehr 69 wo.gefallt 3 malantwort",1
5379,Eure veganen Produkte sind richtig klasse gibt's bei uns ganz häufig,vegan produkt richtig klass gibt 's ganz haufig,1
5380,Ich liebe eure veganen Produkte danke ,lieb vegan produkt dank,1
5384,Die sind soooo geil  danke danke danke endlich mal was geiles veganes,soooo geil dank dank dank endlich geil vegan,1
5412,Ich fänds voll super wenns die veganen Schnitzel auch zum selbst panieren gäb. Dann könnte man bezüglich der Panade und der Würzung cool experimentieren,fand voll sup wenn vegan schnitzel pani gab . bezug panad wurzung cool experimenti,1
5413,"Die veganen Schnitzel sind auch ultra geil in Streifen geschnitten, knusprig gebraten und dann in, mit Gemüse gefüllte Wraps. ","vegan schnitzel ultra geil streif geschnitt , knusprig gebrat , gemus gefullt wraps .",1
5428,"Wer was gutes tun möchte und es sich nicht vorstellen kann von der Routine abzuweichen, der sollte wirklich nach euren veganen Produkten greifen. Ich esse eure veganen Produkte nun schon eine Zeit lang und finde sie mittlerweile super lecker! Egal ob Teewurst, Leberwurst oder der vegane Schinkenspicker: Alles finde ich lecker! Kann euch nur weiter empfehlen Und an all die, die meinen vegan lebende Menschen mal wieder in den Dreck ziehen zu wollen: Fasst euch an eure Nase und schaut nach draußen! ","wer gut tun mocht nicht vorstell routin abzuweich , wirklich vegan produkt greif . ess vegan produkt schon zeit lang find mittlerweil sup leck ! egal teewurst , leberwurst vegan schinkenspick : find leck ! empfehl all , vegan lebend mensch dreck zieh : fasst nas schaut drauss !",1
5430,"Wäre cool, wenn ihr mehr vegane Produkte anbieten würdet. Eure Teewurst ist der Hammer ","war cool , mehr vegan produkt anbiet wurdet . teewurst hamm",1
5431,Warum sind vegane Produkte so teuer? Die Herstellungskosten liegen doch unter denen von Fleisch...,warum vegan produkt teu ? herstellungskost lieg den fleisch ...,1
5432,Danke für eure veganen Produkte! ,dank vegan produkt !,1
5433,eure vegane teewurst und salami rettet leben,vegan teewurst salami rettet leb,1
5436,"Danke für eure Produkte aber besonders die vegane Teewurst, die ist so gut ","dank produkt besond vegan teewurst , gut",1
5438,"Gannz viele Vegan und Vegetarische Produkte z.B Vegane Putenbrustscheiben, veganer Bacon, vegane Gelbwurst.. allerdings alles bitt nicht so salzig ( das einzige was ich verbessern würde ist die Salzmenge.. vielleicht geht es auch nur mir so, manchmal jedoch schmecken die Produkte etwas zu salzig) aber sonst MACHT WEITER SO! ","gannz viel vegan vegetar produkt z.b vegan putenbrustscheib , vegan bacon , vegan gelbwurst .. allerding bitt nicht salzig ( einzig verbess salzmeng .. vielleicht geht , manchmal jedoch schmeck produkt salzig ) macht !",0
5439,"Als ich noch keine Veganerin war, habe ich eure veg Salami geliebt. Könnt ihr die bitte auch vegan machen? Habe die Tage einen Hersteller gesehen, der vegane Salami produziert. Die schmeckt super und ich sucher, dass ihr die auch so toll hinbekommt. Würde mich freuen!!","veganerin , veg salami geliebt . konnt bitt vegan ? tag herstell geseh , vegan salami produziert . schmeckt sup such , toll hinbekommt . freu ! !",1
5450,More vegan please,mor vegan pleas,1
5451,"Wer von euch hat die vegane Pommersche schon probiert? Ich habe mir eine Packung gekauft und bin sehr enttäuscht. Es hat einen ganz seltsamen Nachgeschmack, der Schnittlauch schmeckt irgendwie nach Koriander. Mein Mann mag es auch nicht, jetzt sitze ich hier mit ner vollen Packung und keiner mag es essen ","wer vegan pommersch schon probiert ? packung gekauft sehr enttauscht . ganz seltsam nachgeschmack , schnittlauch schmeckt irgendwi koriand . mann mag nicht , sitz ner voll packung mag ess",0
5453,Ihr habt es verdient :) ich würde mir mehr veganes von euch wünschen ,habt verdient : ) mehr vegan wunsch,1
5456,"Eure Rostbratwürste sind gut. Leider sind sie nicht vegan, sondern nur vegetarisch. Könntet Ihr das für mich umstellen? ","rostbratwurst gut . leid nicht vegan , vegetar . konntet umstell ?",0
5459,Glückwunsch und zur Feier bitte ein neues veganes Produkt,gluckwunsch feier bitt neu vegan produkt,1
5460,Eine vegane Salami wäre toll und auch die anderen Aufschnitte müsste es mit dazu vegan geben ... ,vegan salami war toll aufschnitt musst vegan geb ...,1
5463,"Anderes Thema:Ich hatte neulich cordonbleu und das Schnitzel (vegan bzw veggie) probiert nicht schlecht aber für meinen Geschmack sehr salzig. Wie gesagt, meine Meinung. Werde die anderen Produkte auch noch probieren. Weiter immer weiter","thema : neulich cordonbleu schnitzel ( vegan bzw veggi ) probiert nicht schlecht geschmack sehr salzig . gesagt , meinung . produkt probi . imm",1
5465,"Ich fänd mal eine Art ""Produkt-Wettbewerb"" toll. Also Ideen für neue Produkte oder Geschmacksrichtungen bestehender Produkte, die von den Fans kommen und dann von einer Jury gewählt werden und in Produktion gehen. Und bitte bleibt weiter so in der Qualität. Eure vegane Teewurst ist ein Gedicht, eine Light-Variante oder auch eine Art vegane grobe Streich-Mettwurst wäre klasse! ","fand art `` produkt-wettbewerb '' toll . ide neu produkt geschmacksricht besteh produkt , fan komm jury gewahlt produktion geh . bitt bleibt qualitat . vegan teewurst gedicht , light-variant art vegan grob streich-mettwurst war klass !",1
5468,vegetarische produkte endlich vegan anbieten ,vegetar produkt endlich vegan anbiet,1
5470,Bitte weiter euer vegan Sortiment ausbauen. Wünschen uns vegane Würstchen und vegane Frikadellen ,bitt vegan sortiment ausbau . wunsch vegan wurstch vegan frikadell,1
5474,"Was ein Quatsch, veganer/Vegetarier leben nicht gesünder. Fleisch hat seid Menschengedenken zur Zivilisation und fortschritt beigetragen, aber jetzt soll das alles falsch sein?? Ich glaube da sollten einige mal darüber nachdenken wie bescheuert reine Pflanzenernährung ist.","quatsch , veganer/vegetari leb nicht gesund . fleisch seid menschengedenk zivilisation fortschritt beigetrag , falsch ? ? glaub sollt darub nachdenk bescheuert rein pflanzenernahr .",1
5477,Wir hatten spannende Dialoge mit euch in der Talkrunde 2019.  Am 17. April geht es wieder los und wir sind noch auf der Suche nach TeilnehmerInnen.  Ihr möchtet dabei sein? Dann klickt auf den Link in unsere Bio.  #rügenwaldermühle #talkrunde2020 #veggie #vegan #plantbased #letstalk #talkrunde,spannend dialog talkrund 2019 . 17 . april geht los such teilnehmerinn . mochtet dabei ? klickt link bio . # rugenwaldermuhl # talkrunde2020 # veggi # vegan # plantbased # letstalk # talkrund,1
5480,#rügenwaldermühle #talkrunde2020 #veggie #plantbasedfood #fleischauspflanzen #vegan #letstalk,# rugenwaldermuhl # talkrunde2020 # veggi # plantbasedfood # fleischauspflanz # vegan # letstalk,1
5483,"Ich habe mir bei mehreren Marktleitern schon den Mund fusselig geredet. In einer „Box“ sind z. B. immer Schinkenspicker vegetarisch und Schinkenspicker vegan. - Funfact: der vegane ist immer gleich weg und beide Sorten schmecken nach Aussage eines Nichtveganers total gleich. Warum also nicht das Ei auch noch raus lassen? Ein Vegetarier kauft sicher auch vegane Produkte, ein Veganer aber keine „nur“ vegetarischen.","mehr marktleit schon mund fussel geredet . „ box “ z . b. imm schinkenspick vegetar schinkenspick vegan . - funfact : vegan imm gleich beid sort schmeck aussag nichtvegan total gleich . warum nicht ei raus lass ? vegetari kauft sich vegan produkt , vegan „ “ vegetar .",1
5488,Hallo kann man die veganen Fleischersatzprodukte einfrieren?Lg Simone,hallo vegan fleischersatzprodukt einfri ? lg simon,1
5489,Viel mehr vegane Produkte bitte,mehr vegan produkt bitt,1
5490,Bitte bleibt vegetarisch und nicht vegan. Oft schmeckt vegan nicht ansatzweise so gut wie vegetarisch,bitt bleibt vegetar nicht vegan . oft schmeckt vegan nicht ansatzweis gut vegetar,1
5492,Danke für die ganzen tollen veganen Produkte!! Sie sind so lecker und man hat zusätzlich zu Obst und Gemüse wahnsinnig viel Abwechslung ,dank ganz toll vegan produkt ! ! leck zusatz obst gemus wahnsinn abwechsl,1
5498,Ich mag euren veganen Aufschnitt sehr gern! ,mag vegan aufschnitt sehr gern !,1
5500,#vegan,# vegan,1
5506,"Von Ihrer Firma kauf ich überhaupt gar nichts. Da können noch soviele vegane Produkte kommen. Solange Sie mit Tierleid Geld verdienen, gibt es von mir für eine reine Tierleidsfirma keinen einzigen Cent.","firma kauf uberhaupt gar nicht . soviel vegan produkt komm . solang tierleid geld verdi , gibt rein tierleidsfirma einzig cent .",0
5508,"Die Entwicklung zu mehr veganen Produkten konsequent weiterverfolgen! Damit seid ihr die einzige Metzgerei, die schlau genug ist, sich ein Stück vom wachsenden Kuchen zu sichern.","entwickl mehr vegan produkt konsequent weiterverfolg ! seid einzig metzgerei , schlau genug , stuck wachsend kuch sich .",1
5510,Alle vegetarischen Produkte vegan herstellen ,vegetar produkt vegan herstell,1
5514,"Eure veganen Produkte sind richtig gut, haben aber häufig einen Nachgeschmack, der nicht so schön ist. Wer weiß was ich meine?","vegan produkt richtig gut , haufig nachgeschmack , nicht schon . wer weiss ?",1
5516,"Ich liebe die veganen und vegetarischen Produkte. Es gibt echt nichts, was mir nicht gut schmeckt. Am besten finde ich die vegetarischen Bockwürstchen.","lieb vegan vegetar produkt . gibt echt nicht , nicht gut schmeckt . best find vegetar bockwurstch .",1
5521,"Bitte verändert euer Packungsdesign , für die vegane Lyoner zum Beispiel runde hüllen, in der die Lyoner gestapelt statt versetzt geschichtet wird ?","bitt verandert packungsdesign , vegan lyon beispiel rund hull , lyon gestapelt statt versetzt geschichtet ?",1
5541,"""Das Deutsche Tierschutzbüro warnt nach einem aktuellen WHO-Lagebericht offiziell vor dem Verzehr tierischer Produkte wegen Corona: Denn das Virus breitet sich immer mehr aus. Über 80.000 Menschen sollen laut WHO derzeit an dem Virus erkrankt sein. Die ersten beiden bestätigten Fälle in Österreich gibt es offiziell seit gestern in Tirol. Auch in Italien und Deutschland mehren sich die Fälle. "" www.heute.at Go vegan ",`` deutsch tierschutzburo warnt aktuell who-lagebericht offiziell verzehr tierisch produkt weg corona : virus breitet imm mehr . 80.000 mensch soll laut who derzeit virus erkrankt . erst beid bestatigt fall osterreich gibt offiziell seit gest tirol . itali deutschland mehr falle. `` www.heute.at go vegan,1
5543,Eure veganen Produkte sind toll.,vegan produkt toll .,1
5545,"Es wäre super, wenn ihr die vegetarischen Frikadellen vegan machen könntet. Die sind so lecker, aber für mich als Neu-Veganerin leider nicht mehr essbar. Das geht bestimmt mehr Leuten so.","war sup , vegetar frikadell vegan konntet . leck , neu-veganerin leid nicht mehr essbar . geht bestimmt mehr leut .",0
5554,"Seid ihr so viele vegane Produkte habt, bin ich Stammkunde. Bitte den Trend fortführen, denn ihr ebnet wirklich den Weg in die Zukunft","seid viel vegan produkt habt , stammkund . bitt trend fortfuhr , ebnet wirklich zukunft",1
5560,Ihr seid die besten Fleischfabrikanten #govegan,seid best fleischfabrikant # govegan,1
5562,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #rosenmontag #karneval,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # rosenmontag # karneval,1
5563,"Ich wollte mal kurz sagen, dass ich eure Produkte, besonders wegen ohne Sonnenblumenöl (!), aber auch wegen ohne Soja, sehr liebe. Aber der Geschmack ist großartig! Endlich vegetarische/ vegane Produkte, die ich trotz Histaminintoleranz/ Urtikaria essen kann! Ich liebe euch dafür! Dankeschön!","kurz sag , produkt , besond weg sonnenblumenol ( ! ) , weg soja , sehr lieb . geschmack grossart ! endlich vegetarische/ vegan produkt , trotz histaminintoleranz/ urtikaria ess ! lieb dafur ! dankeschon !",1
5564,Könnt ihr mal bitte veganen Hackepeter kreieren? ,konnt bitt vegan hackepet kreier ?,1
5565,"großartig, dass ihr so clever, schnell und wirklich lecker umgesetzt habt, was uns allen und dem Klima gut tut. nur leider seid ihr noch so selten zu finden. ich hoffe, eure kooperationen weiten sich noch mehr aus. euer veganer burger ist auf jeden fall besser als der von aldi :)","grossart , clev , schnell wirklich leck umgesetzt habt , klima gut tut . leid seid selt find . hoff , kooperation weit mehr . vegan burg fall bess aldi : )",1
5568,"Ich bin keine Vegetarierin, aber eure vegane pommersche schmeckt mir besser als die normale  mega Produkte weiter so ","vegetarierin , vegan pommersch schmeckt bess normal mega produkt",1
5570,Macht biiittttteee eine vegane Teewurst! ,macht biiitttttee vegan teewurst !,1
5579,"Ich verstehe irgendwie nicht, warum es nur eine Sorte veganen Schinken Spicker gibt und alle anderen nur vegetarisch sind. Ihr habt doch das Rezept für die Vegane Version, warum dann nicht die vegetarischen in Vegan umändern ?","versteh irgendwi nicht , warum sort vegan schink spick gibt vegetar . habt rezept vegan version , warum nicht vegetar vegan umand ?",0
5582,wird langsam echt mal zeit für mehr Sorten von der veganen wurst,langsam echt zeit mehr sort vegan wurst,1
5585,Ich liebe eure veganen Produkte! Bitte mehr davon oder am besten nur noch Vegan. ,lieb vegan produkt ! bitt mehr davon best vegan .,1
5587,"Der vegane Mühlenburger ist einfach am geilsten, doch leider finde ich ihn in den meisten Geschäften nicht mehr. Der vegetarische Mühlenburger scheidet leider aus. Und ich hoffe immer noch, das die anderen Produkte mal veganisiert werden. Und wer so geile vegane Produkte herstellt, der kann sicher auch die vegetarischen Sachen genausogut in vegan machen. ","vegan muhlenburg einfach geil , leid find meist geschaft nicht mehr . vegetar muhlenburg scheidet leid . hoff imm , produkt veganisiert . wer geil vegan produkt herstellt , sich vegetar sach genausogut vegan .",1
5596,"der vegane schinkenspicker, macht mal bitte mehr vegane Wurst sachen  wie zb die mini salami oder die mühlen frikadellen. die vermiss ich von euch so, seit dem ich vegan bin","vegan schinkenspick , macht bitt mehr vegan wurst sach zb mini salami muhl frikadell . vermiss , seit vegan",1
5598,Ich liebe die vegane Schinkenspicker!! Und Die Nuggets,lieb vegan schinkenspick ! ! nugget,1
5599,"Ich liebe eure Produkte! Ganz großes Kompliment an euch! Das einzige, was noch fehlt, sind vegane Mühlenwürstchen!","lieb produkt ! ganz gross kompliment ! einzig , fehlt , vegan muhlenwurstch !",1
5600,"Freunde der wie wäre es wenn ihr mehr VEGANE Produkte herstelltDie veganen Produkte sind die, die immer am schnellsten und häufigsten ausverkauft sindSie sind außerdem sehr lecker ","freund war mehr vegan produkt herstelltdi vegan produkt , imm schnell haufig ausverkauft sindsi ausserd sehr leck",1
5602,"hey, könnt ihr eure vegetarischen Frikadellen auch vegan machen?","hey , konnt vegetar frikadell vegan ?",1
5604,Alle eure veganen Produkte  gibt es die Mühlenwürsten auch in vegan?,vegan produkt gibt muhlenwurst vegan ?,1
5605,Auch als Nichtkarnevalist bin ich total verrückt nach allen Euren veganen Produkten.,nichtkarnevalist total verruckt vegan produkt .,1
5607,Vegane Pommersche und veganer Schinkenspicker. Warte noch auf die Salami in Vegan ,vegan pommersch vegan schinkenspick . wart salami vegan,1
5608,"Ich feier zwar kein Karneval,aaaaabeeeer ich liebe eure vegane Wurst  War anfangs etwas skeptisch,aber durch einen Fehlkauf (wollte die vegetarische Wurst), bin ich dazu gekommen und "" i love it"". Wenn ihr jetzt nur noch ""VEGAN"" produziert,seid ihr meine Helden!","feier karneval , aaaaabeee lieb vegan wurst anfang skeptisch , fehlkauf ( vegetar wurst ) , gekomm `` i lov it '' . `` vegan '' produziert , seid held !",1
5612,Das vegane Konfetti???,vegan konfetti ? ? ?,1
5616,"Alles, was vegan ist",", vegan",1
5617,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #angrillen #barbecue #grillen,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # angrill # barbecu # grill,1
5618,Sobald ihr vegane Würstchen macht,sobald vegan wurstch macht,1
5621,In eine Roster gehört richtiges Fleich solches veganes Zeug dürfte nicht Produziert werden so macht man die ganze Landwirtschaft kaputt und keine Landwirtschaft keine Menschen,rost gehort richtig fleich vegan zeug durft nicht produziert macht ganz landwirtschaft kaputt landwirtschaft mensch,1
5626,Bitte macht vegane und glutenfreie Produkte (habe Zöliakie)  76 Wo.Gefällt 1 MalAntworten,bitt macht vegan glutenfrei produkt ( zoliaki ) 76 wo.gefallt 1 malantwort,1
5628,Habt ihr die auch vegan in der Pipeline?? ,habt vegan pipelin ? ?,1
5631,Habe sie probiert und wow jetzt bitte noch genau so in vegan ,probiert wow bitt genau vegan,1
5639,Wie sehr ich mir die in der veganen Variante wünschen würde,sehr vegan variant wunsch,1
5641,gibt's auch schon vegane würstchen?,gibt 's schon vegan wurstch ?,1
5642,vegan please,vegan pleas,1
5646,Warum nicht gleich vegan?,warum nicht gleich vegan ?,0
5647,"Schön, dass es ohne Fleisch ist. Verursacht jedoch leider noch immer Kükenschreddern (etc.). Meldet euch nochmal, wenn es den Hot Dog in vegan gibt - habt ihr bei dem Aufschnitt ja zum Teil auch schon hervorragend umgesetzt. In diesem Sinne: ich glaube an eure Produktentwickler*innen ","schon , fleisch . verursacht jedoch leid imm kukenschredd ( etc. ) . meldet nochmal , hot dog vegan gibt - habt aufschnitt ja teil schon hervorrag umgesetzt . sinn : glaub produktentwickl * inn",1
5648,Ich finde eure vegane Produktpalette so toll und kaufe sie gerne. Aber bitte bitte bitte lasst doch das Vollei/Milch-Gemisch da raus. Ihr könnt das doch so gut ohne Massentierhaltung  habt ihr doch schon mit Bravour bewiesen :)),find vegan produktpalett toll kauf gern . bitt bitt bitt lasst vollei/milch-gem raus . konnt gut massentierhalt habt schon bravour bewies : ) ),1
5652,"Bitte stellt vegane Wiener Würstchen her ohne Eiklar oder dergleichen. Mensch ich hätte mir den doch gleich sofort geholt. Mir ist es egal ob ihr Fleischprodukte anbietet, ich möchte nur das auch Veganer wie ich sowas essen können.","bitt stellt vegan wien wurstch her eiklar dergleich . mensch hatt gleich sofort geholt . egal fleischprodukt anbietet , mocht vegan sowas ess .",1
5653,Leider nicht vegan,leid nicht vegan,0
5654,"Leider nicht vegan mimimimi.... toll, ein Schritt in die richtige Richtung. Schaut lecker aus, Danke ","leid nicht vegan mimimimi .... toll , schritt richtig richtung . schaut leck , dank",1
5655,bitte vegan ,bitt vegan,1
5656,#veganwerdenwaslosdigga,# veganwerdenwaslosdigga,1
5657,"Anstatt rumzumeckern, dass es sie noch nicht vegan gibt, sollte man lieber froh darüber sein, dass es sie wenigstens vegetarisch gibt. Weiter so ","anstatt rumzumeck , nicht vegan gibt , lieb froh darub , wenigst vegetar gibt .",1
5658,wenn es vegan wäre würde ich es sofort kaufen. next Time please !,vegan war sofort kauf . next tim pleas !,1
5659,"Schade, dass die nicht vegan sind. Hatte sie heute gesehen und war etwas enttäuscht. ","schad , nicht vegan . heut geseh enttauscht .",0
5663,"klar gibt es weniger Veganer. Aber wenn es vegetarisch ist, können nur Fleischesser und Vegetarier das Produkt essen. Wenn es vegan ist, können alle das Produkt essen. Ich glaube nämlich nicht, dass ein Vegetarier angeekelt ist, wenn keine Milch oder Eier enthalten sind","klar gibt wenig vegan . vegetar , fleischess vegetari produkt ess . vegan , produkt ess . glaub namlich nicht , vegetari angeekelt , milch eier enthalt",1
5666,Bitte bringt die Wurst als vegane Variante raus.,bitt bringt wurst vegan variant raus .,1
5669,Wie hier alle Jammern es sei nicht vegan common es ist von Backwerk damit tuste auch nix gutes niemals,jamm sei nicht vegan common backwerk tust nix gut niemal,0
5670,"Ihr erreicht niemanden, der gegen Tierleid ist, mit vegetarischen Produkten. Make it vegan ","erreicht niemand , tierleid , vegetar produkt . mak it vegan",1
5672,Macht doch mal vegane Hot Dogs!!!,macht vegan hot dog ! ! !,1
5673,Warum nicht vegan? :(,warum nicht vegan ? : (,1
5679,"Wäre sie vegan, würde ich sie mir auch direkt holen.. vielleicht fürs nächste Mal ","war vegan , direkt hol .. vielleicht fur nach",1
5685,Mag ich nicht essen. Zu viel Tierleid. Bitte vegan!,mag nicht ess . tierleid . bitt vegan !,1
5694,Was soll ich denn mit vegetarischen Würstchen xD warum sind die nicht vegan verdammt?,vegetar wurstch xd warum nicht vegan verdammt ?,1
5695,Bei Ikea sind die Hot-Dogs vegan. Just sayin' ,ikea hot-dog vegan . just sayin ',1
5696,Bitte vegan ansonsten mega geil,bitt vegan anson mega geil,1
5698,Leute die veganen Hotdogs von Hobelz kann ich euch nur empfehlen!!!!!,leut vegan hotdog hobelz empfehl ! ! ! ! !,1
5703,"Sieht toll aus und schmecken tut es auch. An alle Veganextremisten da draußen Daran sterben werdet ihr nicht gleich, wenn ihr einmal etwas ißt was nicht ganz vegan ist, einfach keine Religion daraus machen dann wird das Leben leichter. Die Müller von der Rügenwalder Mühle arbeiten bestimmt schon an einer Veganwurst Sie können ja nicht über Nacht die ganze Produktion umstellen. Freut euch sich schon einmal an dem was es schon gibt ","sieht toll schmeck tut . veganextremist drauss daran sterb werdet nicht gleich , isst nicht ganz vegan , einfach religion daraus leb leicht . mull rugenwald muhl arbeit bestimmt schon veganwurst ja nicht nacht ganz produktion umstell . freut schon schon gibt",0
5705,Warum gibt es die Würstchen nicht vegan??? ,warum gibt wurstch nicht vegan ? ? ?,1
5707,Bitte mit veganen Würstchen. Vegetarisch will doch heute niemand mehr sehen,bitt vegan wurstch . vegetar heut niemand mehr seh,0
5710,Bitte in vegan!!! ,bitt vegan ! ! !,1
5713,Die Würstchen bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte bitte in vegan  Und ihr solltet eine Onlineshop machen für eure veganen Produkte ,wurstch bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt bitt vegan solltet onlineshop vegan produkt,1
5714,Bitte noch eine vegane Kooperation,bitt vegan kooperation,1
5716,"Wenn es in vegan wäre, würde ich es soooofoooort probieren ","vegan war , soooofoooort probi",1
5721,Nicht vegan.,nicht vegan .,1
5728,"Jetzt bitte noch in vegan, dann wäre es perfekt haha  aber trotzdem gut, dass es so angeboten wird  jeder Schritt in die richtige Richtung zählt :)","bitt vegan , war perfekt haha trotzd gut , angebot schritt richtig richtung zahlt : )",1
5730,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #rezeptideen #loveisintheair,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # rezeptide # loveisintheair,1
